"Source","DisplayName","ModuleId","Version","Path","HasRootSubModuleXml","HasBinWin64","BinNonEmpty","HasDeclaredDllName","DeclaredDllName","DllExistsExpected","SubModuleClassType","DependedModules","IncompatibleModules","IsOfficial","DuplicateId","WorkshopId","FolderName"
"local_manual","RTS Commander Doctrine","Bannerlord.RTSCameraLite","v0.1.0","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\Modules\Bannerlord.RTSCameraLite","True","True","True","True","Bannerlord.RTSCameraLite.dll","True","Bannerlord.RTSCameraLite.SubModule","Native;SandBoxCore;Sandbox;StoryMode;CustomBattle",,"False","False","","Bannerlord.RTSCameraLite"
"local_manual","Birth and Aging Options","BirthAndDeath","v1.3.15","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\Modules\BirthAndDeath","True","True","True","True","TaleWorlds.CampaignSystem.ViewModelCollection.BirthAndDeath.dll","True","TaleWorlds.CampaignSystem.ViewModelCollection.BirthAndDeath.BirthAndDeathSubModule","Native;SandBoxCore",,"True","False","","BirthAndDeath"
"local_manual","CustomBattle","CustomBattle","v1.3.15","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\Modules\CustomBattle","True","True","True","True","TaleWorlds.MountAndBlade.CustomBattle.dll","True","TaleWorlds.MountAndBlade.CustomBattle.CustomBattleSubModule","Native;SandBoxCore",,"True","False","","CustomBattle"
"local_manual","Fast Mode","FastMode","v1.3.15","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\Modules\FastMode","True","True","True","True","TaleWorlds.CampaignSystem.FastMode.dll","True","TaleWorlds.CampaignSystem.FastMode.FastModeSubModule","Native;SandBoxCore",,"True","False","","FastMode"
"local_manual","Multiplayer","Multiplayer","v1.3.15","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\Modules\Multiplayer","True","True","True","True","TaleWorlds.MountAndBlade.Multiplayer.dll","False","TaleWorlds.MountAndBlade.Multiplayer.MultiplayerSubModule","Native",,"True","False","","Multiplayer"
"local_manual","Native","Native","v1.3.15","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\Modules\Native","True","True","True","True","TaleWorlds.MountAndBlade.View.dll","False","TaleWorlds.MountAndBlade.View.ViewSubModule","",,"True","False","","Native"
"local_manual","NavalDLC","NavalDLC","v1.1.3","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\Modules\NavalDLC","True","True","True","True","NavalDLC.dll","True","NavalDLC.NavalDLCSubModule","Native;SandBoxCore;Sandbox;StoryMode",,"True","False","","NavalDLC"
"local_manual","Sandbox","Sandbox","v1.3.15","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\Modules\SandBox","True","True","True","True","SandBox.dll","True","SandBox.SandBoxSubModule","Native;SandBoxCore",,"True","False","","SandBox"
"local_manual","SandBox Core","SandBoxCore","v1.3.15","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\Modules\SandBoxCore","True","True","False","False","","False","","Native",,"True","False","","SandBoxCore"
"local_manual","StoryMode","StoryMode","v1.3.15","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\Modules\StoryMode","True","True","True","True","StoryMode.dll","True","StoryMode.StoryModeSubModule","Native;SandBoxCore;Sandbox",,"True","False","","StoryMode"
